1850,-0.464
1851,-0.291
1852,-0.234
1853,-0.24
1854,-0.189
1855,-0.245
1856,-0.356
1857,-0.46
1858,-0.384
1859,-0.28
1860,-0.501
1861,-0.479
1862,-0.744
1863,-0.383
1864,-0.522
1865,-0.487
1866,-0.491
1867,-0.49
1868,-0.387
1869,-0.26
1870,-0.319
1871,-0.458
1872,-0.328
1873,-0.345
1874,-0.284
1875,-0.473
1876,-0.415
1877,-0.073
1878,0.106
1879,-0.317
1880,-0.367
1881,-0.256
1882,-0.336
1883,-0.4
1884,-0.607
1885,-0.492
1886,-0.429
1887,-0.481
1888,-0.367
1889,-0.262
1890,-0.513
1891,-0.405
1892,-0.573
1893,-0.555
1894,-0.436
1895,-0.436
1896,-0.286
1897,-0.244
1898,-0.413
1899,-0.316
1900,-0.185
1901,-0.206
1902,-0.46
1903,-0.513
1904,-0.58
1905,-0.402
1906,-0.256
1907,-0.533
1908,-0.468
1909,-0.492
1910,-0.474
1911,-0.457
1912,-0.534
1913,-0.49
1914,-0.268
1915,-0.177
1916,-0.448
1917,-0.585
1918,-0.468
1919,-0.382
1920,-0.315
1921,-0.162
1922,-0.302
1923,-0.247
1924,-0.185
1925,-0.17
1926,-0.005
1927,-0.105
1928,-0.093
1929,-0.334
1930,-0.023
1931,0.037
1932,-0.047
1933,-0.278
1934,-0.058
1935,-0.102
1936,-0.066
1937,0.125
1938,0.154
1939,0.048
1940,0.114
1941,0.071
1942,0.059
1943,0.115
1944,0.224
1945,0.087
1946,-0.012
1947,0.043
1948,-0.001
1949,-0.071
1950,-0.197
1951,0.048
1952,0.066
1953,0.205
1954,-0.034
1955,-0.129
1956,-0.283
1957,-0.035
1958,0.084
1959,0.048
1960,0.003
1961,-0.002
1962,0.052
1963,0.076
1964,-0.256
1965,-0.193
1966,-0.085
1967,-0.038
1968,-0.136
1969,-0.099
1970,-0.122
1971,-0.227
1972,-0.248
1973,0.022
1974,-0.248
1975,-0.108
1976,-0.249
1977,0.08
1978,-0.013
1979,0.029
1980,0.135
1981,0.337
1982,-0.013
1983,0.191
1984,-0.03
1985,-0.057
1986,0.058
1987,0.192
1988,0.312
1989,0.213
1990,0.458
1991,0.381
1992,0.093
1993,0.189
1994,0.319
1995,0.563
1996,0.285
1997,0.527
1998,0.709
1999,0.468
2000,0.481
2001,0.622
2002,0.664
2003,0.714
2004,0.629
2005,0.828
2006,0.787
2007,0.825
2008,0.664
2009,0.699
2010,0.912
2011,0.72
2012,0.776
2013,0.771
2014,0.902
2015,1.122
2016,1.244
2017,1.106
2018,0.952
2019,1.153
2020,1.277
2021,1.089
2022,1.106
2023,1.421
2024,1.529
2025,1.333
